S.no,Meaningful,Uniqueness,Price,Physical availability,Saliency,Consideration
1,8,8,7,9,9,7
2,6,6,5,6,5,5
3,7,9,7,8,8,6
4,7,5,6,6,8,6
5,8,5,6,6,6,7
6,7,7,7,7,9,8
7,8,8,6,4,4,6
8,8,4,4,7,7,6
9,7,7,7,7,6,5
10,6,6,4,5,5,7
11,7,7,4,8,7,5
12,4,4,5,6,5,6
13,5,5,4,5,5,5
14,8,8,6,9,9,8
15,6,6,5,6,7,6
16,5,4,7,7,6,6
17,9,9,6,10,10,6
18,8,7,7,6,7,5
19,9,9,7,7,9,5
20,6,7,6,6,6,5
21,8,6,5,5,6,7
22,6,7,5,7,7,8
23,7,6,5,7,5,6
24,6,6,6,5,4,5
25,8,8,6,8,7,8
26,7,9,8,8,8,7
27,3,4,5,5,6,4
28,7,7,6,7,7,5
30,7,7,7,7,7,7
31,8,8,5,7,7,5
32,9,8,7,8,9,8
33,6,6,7,6,6,8
34,9,9,6,8,8,6
35,6,5,5,6,6,5
36,8,8,7,7,8,7
37,8,9,7,9,6,8
38,7,8,6,7,8,5
39,9,9,7,5,7,5
40,7,7,6,6,6,4
41,7,6,6,7,7,5
42,7,7,6,8,8,8
43,8,9,7,6,8,8
44,7,6,6,7,6,6
45,9,9,7,8,8,6
46,8,8,8,7,7,6
47,6,6,8,8,7,6
48,4,3,4,6,6,5
49,9,9,6,8,8,8
50,8,8,5,9,8,6
51,7,8,6,6,8,8
52,8,8,7,7,8,6
53,7,7,5,7,7,7
54,9,9,7,10,10,6
55,6,6,6,7,6,6
56,8,9,6,6,8,6
57,7,7,7,8,8,7
58,8,9,7,8,10,7
59,8,8,8,8,8,5
60,8,8,7,4,7,7
61,7,6,6,8,7,4
62,5,4,4,6,6,6
63,8,8,7,7,9,5
64,8,8,4,9,9,6
65,7,6,7,6,5,6
66,4,4,6,6,6,5
67,8,8,6,7,8,6
68,8,8,7,10,10,6
69,6,6,6,6,3,6
70,7,7,5,6,9,7
71,6,6,4,6,2,6
72,7,6,6,4,6,5
73,7,5,6,6,6,6
74,8,8,6,9,8,7
75,6,8,7,7,7,6
76,4,3,4,6,5,6
77,6,7,7,7,7,7
78,8,8,5,7,7,6
79,9,8,7,7,5,5
81,6,6,4,6,6,6
82,7,5,5,5,6,4
83,7,7,8,7,8,5
84,7,6,5,6,7,6
85,6,6,6,6,6,6
86,8,7,7,7,9,5
87,6,5,6,6,7,5
88,5,4,4,4,4,6
89,5,6,6,6,7,5
90,9,9,6,9,10,8
91,8,8,6,7,8,6
92,7,7,7,5,7,6
93,7,8,7,7,8,8
94,7,7,6,8,8,6
95,5,4,5,6,4,6
96,8,9,6,4,4,5
97,7,7,6,7,8,7
98,8,8,7,8,7,7
99,7,7,6,6,7,9
100,8,8,6,9,9,7
101,7,7,6,7,8,6
102,8,7,6,7,8,7
103,7,8,5,6,7,7
104,9,9,6,7,5,6
105,9,9,5,8,4,9
106,8,8,6,8,9,6
107,6,5,6,6,7,7
108,6,7,6,6,7,6
109,8,8,7,8,8,8
110,7,6,4,6,6,7
111,7,7,6,5,3,6
112,6,6,7,6,6,7
113,6,7,6,7,6,6
